Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
Female,1,38,1,3,1.0,1,3.0,0
Female,1,67,1,3,1.0,0,1.0,1
Male,1,67,1,5,0.0,2,2.0,1
Female,1,40,1,2,1.0,2,6.0,0
Male,1,56,0,0,0.0,1,2.0,2
Male,0,32,1,1,1.0,0,3.0,2
Female,0,33,1,1,1.0,0,3.0,3
Female,1,61,1,3,0.0,0,3.0,3
Female,1,55,1,0,1.0,1,4.0,2
Female,0,26,1,3,1.0,0,3.0,0
Male,0,19,0,1,4.0,0,4.0,3
Male,1,70,0,5,1.0,0,1.0,0
Female,1,58,0,4,0.0,0,1.0,1
Female,0,41,0,1,1.0,0,2.0,2
Female,0,32,0,8,9.0,0,5.0,3
Male,0,31,0,1,1.0,0,6.0,1
Male,1,58,1,2,1.0,1,4.0,1
Female,1,79,1,0,0.0,2,1.0,2
Male,1,49,1,8,12.0,0,1.0,0
Female,0,18,0,1,3.0,0,4.0,3
Male,1,33,1,0,13.0,0,2.0,0
Female,0,36,1,0,5.0,0,2.0,1
Male,1,56,0,0,1.0,1,3.0,2
Male,0,31,0,1,9.0,0,8.0,0
Male,1,49,1,0,1.0,1,3.0,2
Male,0,35,1,0,0.0,0,1.0,1
Female,0,35,0,0,5.0,0,4.0,2
Female,1,45,1,0,0.0,0,3.0,2
Female,1,42,0,4,1.0,0,2.0,0
Male,0,19,0,1,1.0,0,3.0,3
Female,1,83,0,5,1.0,2,2.0,3
Female,0,27,1,1,3.0,0,4.0,3
Male,0,32,0,4,5.0,0,1.0,3
Female,1,28,0,1,1.0,1,5.0,3
Female,1,28,1,0,8.0,0,2.0,0
Male,1,56,1,0,1.0,1,2.0,2
Female,0,47,1,0,4.0,0,1.0,1
Female,0,22,0,1,0.0,0,2.0,3
Female,0,27,1,0,14.0,0,3.0,0
Male,1,40,0,3,8.0,0,1.0,0
Female,1,79,0,5,1.0,2,2.0,0
Male,1,41,1,0,0.0,1,4.0,1
Female,0,29,1,1,1.0,0,1.0,0
Male,0,19,0,1,0.0,0,4.0,3
Female,0,45,1,3,1.0,0,1.0,0
Female,1,61,0,0,1.0,1,2.0,1
Female,1,36,1,0,1.0,1,2.0,2
Male,1,40,1,0,1.0,0,1.0,0
Female,1,57,1,2,0.0,1,2.0,2
Male,1,76,0,7,1.0,0,1.0,0
Male,1,32,1,0,14.0,1,2.0,1
Male,0,25,1,1,9.0,0,4.0,3
Female,1,45,1,0,1.0,1,3.0,2
Male,1,48,1,0,0.0,1,2.0,2
Male,1,55,1,0,9.0,1,2.0,2
Male,1,74,1,5,0.0,2,3.0,3
Male,1,56,1,5,1.0,2,2.0,0
Male,1,59,1,5,7.0,2,2.0,0
Male,0,25,1,2,0.0,0,2.0,0
Male,1,31,1,4,0.0,1,2.0,0
Male,0,27,0,0,8.0,0,4.0,0
Male,1,57,1,0,0.0,1,4.0,1
Female,1,39,1,8,1.0,2,2.0,0
Male,1,27,1,1,8.0,0,2.0,3
